product_code,tech,role,stage,exports_kusd,name,year
845710,Geothermal,Process Equipment,Downstream,24784.834000000003,Steam Turbine Components Production; CNC Machining,2024
845710,Geothermal,Process Equipment,Midstream,24784.834000000003,Steam Turbine Components Production; CNC Machining,2024
847982,Geothermal,Product Component,Downstream,37286.652,Electrode Production; Dry & Wet Mixing,2024
850239,Geothermal,Final Product,Final Product,30536.606999999996,Electric Generating Sets,2024
851531,Geothermal,Process Equipment,Downstream,2382.402,Steam Turbine Components; Welding Arc,2024
845891,Geothermal,Process Equipment,Midstream,1089.603,Drill Pipes; CNC Turning,2024
260300,Geothermal,Raw Material,Upstream,4170906.9540000004,Copper Ore,2024
720260,Geothermal,Processed Material,Midstream,586321.8,Casing; Ferro-nickel,2024
720291,Geothermal,Processed Material,Midstream,1227.28,Casing; Ferro-titanium,2024
260400,Geothermal,Raw Material,Upstream,231029.502,Nickel Ore,2024
820719,Geothermal,Product Component,Downstream,1455.7839999999999,Drill Bit - Polycrystalline Diamond Compact (PDC),2024
261400,Geothermal,Raw Material,Upstream,10143.332,Titanium Ore,2024
260120,Geothermal,Raw Material,Upstream,6089.722,Iron (Roasted Iron Pyrites),2024
261390,Geothermal,Raw Material,Upstream,1028.381,Molybdenum Ore,2024
846090,Geothermal,Process Equipment,Downstream,172.695,Steam Turbine Components Production; Polishing,2024
842641,Geothermal,Process Equipment,Downstream,624.549,Derricks,2024
845430,Geothermal,Process Equipment,Downstream,670.759,Metal Casting Machines,2024
845921,Geothermal,Process Equipment,Midstream,466.721,Drill Pipes; CNC Drilling,2024
840681,Geothermal,Final Product,Final Product,11985.989000000001,Steam Turbine >40MW,2024
841381,Heat Pumps,Product Component,Downstream,5952.076,Conveyance of Product; Pumps,2024
841490,Heat Pumps,Product Component,Downstream,45466.886999999995,"Pumps, Compressors, etc. Parts",2024
841430,Heat Pumps,Product Component,Downstream,276568.04300000006,Compressor,2024
260600,Heat Pumps,Raw Material,Upstream,241142.81399999998,Bauxite Ore,2024
281820,Heat Pumps,Processed Material,Midstream,3353569.0030000005,Current Collector; Alumina,2024
741110,Heat Pumps,Product Component,Midstream,92420.532,Evaporator Coil; Copper Tubing,2024
760120,Heat Pumps,Processed Material,Midstream,49516.668999999994,Alloyed Unwrought Aluminum,2024
760820,Heat Pumps,Product Component,Midstream,4976.486000000001,Evaporator Coil; Aluminum Tubing,2024
820720,Heat Pumps,Process Equipment,Midstream,742.647,Tube Extrusion; Dies for Drawing or Extruding Metal,2024
840290,Heat Pumps,Product Component,Downstream,10416.643999999998,Heat Exchanger,2024
841410,Heat Pumps,Product Component,Downstream,14553.085000000001,Vacuum Pumps,2024
841581,Heat Pumps,Final Product,Final Product,1427.334,Air Conditioner (w Heat Pump),2024
841590,Heat Pumps,Product Component,Downstream,23756.475000000002,Evaporator,2024
841590,Heat Pumps,Product Component,Midstream,23756.475000000002,Evaporator,2024
841899,Heat Pumps,Product Component,Downstream,38597.723000000005,Freezing Equipment Parts,2024
846150,Heat Pumps,Process Equipment,Midstream,639.5,Cell Production; Cut to Single Electrode,2024
260300,Heat Pumps,Raw Material,Upstream,4170906.9540000004,Copper Ore,2024
740313,Heat Pumps,Processed Material,Midstream,611.836,Copper Billets Unwrought; Copper Tubing,2024
260400,Heat Pumps,Raw Material,Upstream,231029.502,Nickel Ore,2024
853400,Heat Pumps,Product Component,Midstream,2280.9629999999997,Smart Controls; Electronic Printed Circuits,2024
846229,Heat Pumps,Process Equipment,Downstream,2851.615,Sheet Metal Box Encasement Production; Numerically Controlled Press Bake,2024
251910,Heat Pumps,Raw Material,Upstream,173.434,Magnesium Ore,2024
261390,Heat Pumps,Raw Material,Upstream,1028.381,Molybdenum Ore,2024
847989,Magnets,Process Equipment,Downstream,329780.053,Module-Pack Assembly; Module Assembly,2024
260600,Magnets,Raw Material,Upstream,241142.81399999998,Bauxite Ore,2024
284690,Magnets,Processed Material,Midstream,2284.323,"Compounds, Mixes of Rare-earths, Yttrium, Scandium",2024
680421,Magnets,Process Equipment,Downstream,3132.9630000000006,Griding; Diamond Griding Wheel,2024
720293,Magnets,Processed Material,Midstream,2584331.5039999997,Ferro-niobium,2024
760120,Magnets,Processed Material,Midstream,49516.668999999994,Alloyed Unwrought Aluminum,2024
820720,Magnets,Process Equipment,Downstream,742.647,Tube Extrusion; Dies for Drawing or Extruding Metal,2024
847982,Magnets,Process Equipment,Downstream,37286.652,Electrode Production; Dry & Wet Mixing,2024
850519,Magnets,Product Component,Downstream,213.6755,Permanent Magnet Components,2024
850519,Magnets,Final Product,Final Product,213.6755,Permanent Magnet Components,2024
260300,Magnets,Raw Material,Upstream,4170906.9540000004,Copper Ore,2024
260400,Magnets,Raw Material,Upstream,231029.502,Nickel Ore,2024
851440,Magnets,Process Equipment,Downstream,626.344,Induction Heating; Induction Furnace,2024
261590,Magnets,Raw Material,Upstream,32718.725,"Niobium, Tantalum and Vanadium Ores and Concentrates",2024
854330,Magnets,Process Equipment,Downstream,3114.7649999999994,Electrolyzers,2024
260120,Magnets,Raw Material,Upstream,6089.722,Iron (Roasted Iron Pyrites),2024
