tech,hs_code,description,category,shap_mean_z
Biofuel,690220,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; containing by weight more than 50% of alumina (Al2o3), of silica (SiO2) or of a mixture or compound of these",Industrial Materials,0.6764443794866484
Biofuel,842139,"Machinery; for filtering or purifying gases, other than intake air filters for internal combustion engines",Machinery,0.673140103028821
Biofuel,441890,Wood; builders' joinery and carpentry of wood n.e.s. in heading no. 4418,Industrial Materials,0.670335686713666
Biofuel,220720,"Ethyl alcohol and other spirits; denatured, of any strength",Other,0.6682031126709462
Biofuel,841950,Heat exchange units; not used for domestic purposes,Machinery,0.660157472253194
Biofuel,151529,"Vegetable oils; maize (corn) oil and its fractions, other than crude, whether or not refined, but not chemically modified",Other,0.6582735393411452
Biofuel,151000,"Vegetable oils; oils and their fractions n.e.s. in chapter 15, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading no. 1509",Other,0.6538316122462656
Biofuel,440320,"Wood; coniferous, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated",Industrial Materials,0.6505428686389184
Biofuel,282300,Titanium oxides,Chemicals,0.6504013335523147
Biofuel,441810,"Wood; windows, French-windows and their frames",Industrial Materials,0.6414475550284074
Biofuel,150910,"Vegetable oils; olive oil and its fractions, virgin, whether or not refined, but not chemically modified",Other,0.6390674784470807
Biofuel,681091,"Cement, concrete or artificial stone; prefabricated structural components for building or civil engineering, whether or not reinforced",Industrial Materials,0.6379543292082174
Biofuel,711029,"Metals; palladium, semi-manufactured",Metals,0.6365510956448269
Biofuel,290511,"Alcohols; saturated monohydric, methanol (methyl alcohol)",Chemicals,0.6359403184955232
Biofuel,842119,"Centrifuges; n.e.s. in heading no. 8421, including centrifugal dryers (but not clothes-dryers)",Machinery,0.6353653638221882
Biofuel,381519,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.s. or included",Chemicals,0.6334837914069706
Biofuel,440110,"Wood; for fuel, in logs, billets, twigs, faggots or similar forms",Industrial Materials,0.6283139552874407
Biofuel,NA,pop_z,Non-HS,0.6247126546444268
Biofuel,381512,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.s. or included",Chemicals,0.6169150065933168
Biofuel,841430,Compressors; of a kind used in refrigerating equipment,Machinery,0.613498731838301
Biofuel,281511,Sodium hydroxide (caustic soda); solid,Chemicals,0.611941916132838
Biofuel,440710,"Wood, coniferous; sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm",Industrial Materials,0.6107810468134446
Biofuel,840490,"Boilers; parts of auxiliary plant, for use with boilers of heading no. 8402 and 8403 and parts of condensers for steam or other vapour power units",Machinery,0.6075806237432652
Biofuel,290514,"Alcohols; saturated monohydric, butanols excluding item no. 2905.13",Chemicals,0.6047796164490136
Biofuel,260600,Aluminium ores and concentrates,Metals,0.6018062750082814
Biofuel,291814,"Acids; carboxylic acids, (with alcohol function but without other oxygen function), citric acid",Chemicals,0.5941245440603106
Biofuel,261510,Zirconium ores and concentrates,Metals,0.5926412300080302
Biofuel,860799,Railway or tramway rolling stock; parts n.e.s. in heading no. 8607,Machinery,0.591104207050556
Biofuel,690290,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods; n.e.s. in item no. 6902.1 or 6902.2",Industrial Materials,0.5860574718075945
Biofuel,252220,Slaked lime; excluding calcium oxide and hydroxide of heading no. 2825,Industrial Materials,0.5804318495111284
Biofuel,841990,"Machinery, plant and laboratory equipment; parts of equipment for treating materials by a process involving a change of temperature",Machinery,0.579418426452691
Biofuel,150790,"Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified",Other,0.5761782432383356
Biofuel,841940,Distilling or rectifying plant; not used for domestic purposes,Machinery,0.5695160309881235
Biofuel,810110,"Tungsten (wolfram); articles thereof, including waste and scrap, powders",Metals,0.5620115812834063
Biofuel,121300,"Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets",Other,0.5577212199428353
Biofuel,840420,"Boilers; condensers, for steam or other vapour power units",Machinery,0.5564329024295382
Biofuel,840211,Boilers; watertube boilers with a steam production exceeding 45t per hour,Machinery,0.5463342230239585
Biofuel,290121,"Acyclic hydrocarbons; unsaturated, ethylene",Chemicals,0.5449381928246482
Biofuel,721691,"Iron or non-alloy steel; angles, shapes and sections, n.e.s. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Metals,0.5423955404283255
Biofuel,711021,"Metals; palladium, unwrought or in powder form",Metals,0.5410133296839867
Biofuel,282570,Molybdenum oxides and hydroxides,Chemicals,0.5373617875903759
Biofuel,381511,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.s. or included",Chemicals,0.5323700692545251
Biofuel,261400,Titanium ores and concentrates,Metals,0.5283175134490518
Biofuel,280410,Hydrogen,Chemicals,0.5212379425542945
Biofuel,151521,"Vegetable oils; maize (corn) oil and its fractions, crude, not chemically modified",Other,0.5121363352327898
Biofuel,440121,"Wood; in chips or particles, coniferous",Industrial Materials,0.5120003334025113
Electrolyzers,845610,Machine-tools; operated by laser or other light or photon beam process,Machinery,0.7166553136861378
