tech,hs_code,description,category,shap_mean_z
Nuclear,380110,Graphite; artificial,Chemicals,0.5338614385289214
Nuclear,260111,Iron ores and concentrates; non-agglomerated,Metals,0.5278531919134911
Nuclear,260300,Copper ores and concentrates,Metals,0.5245012983993228
Nuclear,721933,"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm",Metals,0.5225943172440765
Nuclear,284510,Heavy water (deuterium oxide),Chemicals,0.521778397251046
Nuclear,250410,"Graphite; natural, in powder or in flakes",Industrial Materials,0.5194133589837691
Nuclear,721932,"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more but less than 4.75mm",Metals,0.5133993482866397
Nuclear,721921,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, (not in coils), of a thickness exceeding 10mm",Metals,0.5133841616599691
Nuclear,284410,"Uranium; natural uranium and its compounds, alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",Chemicals,0.5091121786738385
Nuclear,841780,"Furnaces and ovens; including incinerators, non-electric, for industrial or laboratory use, n.e.s. in heading no. 8417",Machinery,0.5083905877941135
Nuclear,284420,"Uranium; enriched in U235, plutonium, their compounds, alloys dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U235, plutonium or compounds of these products",Chemicals,0.5068150104392469
Nuclear,721931,"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled or cold-reduced, of a thickness of 4.75mm or more",Metals,0.5060448980195925
Solar,NA,fdi_z,Non-HS,0.7037154089145581
Solar,830249,"Mountings, fittings and similar articles; suitable for other than buildings or furniture, of base metal",Metals,0.6721799514391655
Solar,321490,Mastics; n.e.s. in heading no. 3214,Chemicals,0.6681321665694286
Solar,940390,Furniture; parts,Machinery,0.6591278618132698
Solar,NA,trade_z,Non-HS,0.6380741091799254
Solar,392350,"Plastics; stoppers, lids, caps and other closures, for the conveyance or packing of goods",Chemicals,0.6246442383825136
Solar,851430,"Furnaces and ovens; industrial or laboratory, other than those functioning by induction, dielectric loss or resistance heated",Electronics,0.6240268548068898
Solar,NA,Tariff_measures_implement_z,Non-HS,0.6102408166471055
Solar,760429,"Aluminium; alloys, bars, rods and profiles, other than hollow",Metals,0.6018856034046236
Solar,392010,"Plastics; plates, sheets, film, foil and strip, of polymers of ethylene, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",Chemicals,0.5885038881635115
Solar,NA,industry_gdp_z,Non-HS,0.5791920466934498
Solar,730890,"Iron or steel; structures and parts thereof, n.e.s. in heading no. 7308",Metals,0.5780329589014865
Solar,320890,"Paints and varnishes; based on polymers n.e.s. in heading no. 3208, dispersed or dissolved in a non-aqueous medium",Chemicals,0.5716719226594977
Solar,841989,"Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food",Machinery,0.559144978450935
Solar,390740,Polycarbonates; in primary forms,Chemicals,0.5564194366788596
Solar,392030,"Plastics; of polymers of styrene, plates, sheets, film, foil and strip, non-cellular and not reinforced, laminated, supported or similarly combined with other materials",Chemicals,0.5561232062465297
Solar,390130,"Ethylene polymers; in primary forms, ethylene-vinyl acetate copolymers",Chemicals,0.5545069325790315
Solar,850131,"Electric motors and generators; DC, of an output not exceeding 750W",Electronics,0.5519010185454911
Solar,851519,"Brazing or soldering machines and apparatus; other than soldering irons and guns, whether or not capable of cutting",Electronics,0.551314113037153
Solar,320990,"Paints and varnishes; (based on polymers other than acrylic or vinyl), dispersed or dissolved in an aqueous medium",Chemicals,0.5513138928040371
Solar,320820,"Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium",Chemicals,0.5377133035446066
Solar,847790,Machinery; parts of those for working rubber or plastics,Machinery,0.5370992053468889
Solar,390469,"Halogenated olefin polymers; fluoro-polymers (other than polytetrafluoroethylene), in primary forms",Chemicals,0.5364954519626607
Solar,390730,Epoxide resins; in primary forms,Chemicals,0.5353119194634512
Solar,390760,Poly(ethylene terephthalate); in primary forms,Chemicals,0.5291161107788451
Solar,761090,"Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, n.e.s. in heading no. 7610, plates, rods, profiles, tubes and the like",Metals,0.5268608530641576
Solar,761010,"Aluminium; structures (excluding prefabricated buildings of heading no. 9406) and parts of structures, doors, windows and their frames and thresholds for doors",Metals,0.525503760810229
Solar,710692,"Metals; silver, semi-manufactured",Metals,0.5229664022065851
Solar,854389,"Electrical machines and apparatus; n.e.s. in heading no. 8543, (other than proximity cards or tags), having individual functions n.e.s. in chapter 85",Electronics,0.5213155452454878
Solar,NA,gdp_z,Non-HS,0.5203761359150645
Solar,760421,"Aluminium; alloys, hollow profiles",Metals,0.516364091643992
Solar,853222,"Electrical capacitors; fixed, aluminium electrolytic",Electronics,0.5146441108906994
Solar,381800,"Chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics",Chemicals,0.5115883049566675
Solar,760120,"Aluminium; unwrought, alloys",Metals,0.5089311780282837
Solar,250510,"Sands; natural, silica and quartz sands, whether or not coloured",Industrial Materials,0.5085324944683406
Solar,851440,"Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens",Electronics,0.5068595791838033
Solar,854160,Crystals; mounted piezo-electric,Electronics,0.5061594907482992
Solar,847710,"Machinery; injection moulding, for rubber or plastics",Machinery,0.5049018404640684
Solar,854190,"Electrical apparatus; parts for diodes, transistors and similar semiconductor devices and photosensitive semiconductor devices",Electronics,0.5040373750480144
Solar,NA,mfg_z,Non-HS,0.5015981171646665
Transmission,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",Industrial Materials,0.817363092060934
Transmission,847990,"Machines and mechanical appliances; parts, of those having individual functions",Machinery,0.8146530422802779
Transmission,850490,"Electrical transformers, static converters and inductors; parts thereof",Electronics,0.8145173304313122
Transmission,847981,"Machines and mechanical appliances; for treating metal, including electric wire coil-winders",Machinery,0.8051895253148231
Transmission,722611,"Steel, alloy; flat-rolled, width less than 600mm, of silicon-electrical steel, grain-oriented",Metals,0.7743249616708828
Transmission,847989,"Machines and mechanical appliances; n.e.s. in item no. 8479.8, having individual functions",Machinery,0.7709353178479381
Transmission,846241,"Machine-tools; punching or notching machines (including presses), including combined punching and shearing machines, numerically controlled, for working metal",Machinery,0.7643139671952016
Transmission,842890,"Lifting machinery; handling, loading or unloading machinery n.e.s. in heading no. 8428",Machinery,0.7355041229157484
Transmission,850300,Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,Electronics,0.7307009246489127
Transmission,845811,"Lathes; for removing metal, horizontal, numerically controlled",Machinery,0.7247492591352267
Transmission,740811,"Copper; wire, of refined copper, of which the maximum cross-sectional dimension exceeds 6mm",Metals,0.7236545003891156
Transmission,854690,Electrical insulators; other than of glass and ceramics,Electronics,0.7149861472239044
Transmission,NA,mfg_z,Non-HS,0.7084119274998156
Transmission,845530,Metal-rolling mills; rolls thereof,Machinery,0.6999387582351341
Transmission,841939,"Dryers; for products n.e.s. in heading no. 8419, not used for domestic purposes",Machinery,0.6993543581513065
Transmission,NA,pop_z,Non-HS,0.6958024265868471
Transmission,260300,Copper ores and concentrates,Metals,0.6778519199268548
Transmission,NA,fdi_z,Non-HS,0.6775587991382033
Transmission,281820,Aluminium oxide; other than artificial corundum,Chemicals,0.6687462536625591
Transmission,NA,gdp_z,Non-HS,0.6643179311803044
Transmission,842230,"Machinery; for filling, closing, sealing, capsuling or labelling bottles, cans, bags or other containers, machinery for aerating beverages",Machinery,0.6561499366126552
Transmission,NA,trade_z,Non-HS,0.6365029735737502
Transmission,846249,"Machine-tools; punching or notching machines (including presses), including combined punching and shearing machines, (not numerically controlled), for working metal",Machinery,0.616451571435211
Transmission,260111,Iron ores and concentrates; non-agglomerated,Metals,0.6066767922609827
Transmission,NA,industry_gdp_z,Non-HS,0.5963552953003327
Transmission,740110,Copper; copper mattes,Metals,0.5922253860872996
Transmission,260600,Aluminium ores and concentrates,Metals,0.5902129186800265
Transmission,846150,"Machine-tools; sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets",Machinery,0.5841142921167028
Transmission,841710,"Furnaces and ovens; non-electric, for the roasting, melting or other heat-treatment of ores, pyrites or of metals, for industrial or laboratory use",Machinery,0.5802099350006055
Transmission,760521,"Aluminium; alloys, wire, maximum cross-sectional dimension exceeding 7mm",Metals,0.5502175197053202
Wind,730799,"Iron or steel; tube or pipe fittings, n.e.s. in item no. 7307.9, other than stainless steel",Metals,0.6964585970043283
Wind,903180,"Instruments, appliances and machines; for measuring or checking n.e.s. in chapter 90",Machinery,0.6823458599230677
Wind,732690,Iron or steel; articles n.e.s. in heading no. 7326,Metals,0.6669087824016124
Wind,850431,"Electrical transformers; n.e.s. in item no. 8504.2, having a power handling capacity not exceeding 1kVA",Electronics,0.621288929953927
Wind,401693,"Rubber; vulcanised (other than hard rubber), gaskets, washers and other seals, of non-cellular rubber",Chemicals,0.6192691451435588
Wind,401699,"Rubber; vulcanised (other than hard rubber), articles n.e.s. in heading no. 4016, of non-cellular rubber",Chemicals,0.6173012322543872
Wind,NA,gdp_z,Non-HS,0.616382493596221
Wind,732399,"Iron or steel; table, kitchen and other household articles and parts thereof, of iron or steel n.e.s. in heading no. 7323",Metals,0.6137927307452054
Wind,871690,"Trailers, semi-trailers and other vehicles not mechanically propelled; parts thereof for heading no. 8716",Machinery,0.6111484333490703
Wind,321490,Mastics; n.e.s. in heading no. 3214,Chemicals,0.6017464703010766
Wind,854460,Insulated electric conductors; for a voltage exceeding 1000 volts,Electronics,0.5961563590664393
Wind,350691,"Adhesives;prepared, based on polymers of heading 3901 to 3913 or on rubber",Chemicals,0.5937009275364259
Wind,400911,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, not reinforced or otherwise combined with other materials, without fittings",Chemicals,0.5936350295380854
Wind,846221,"Machine-tools; bending, folding, straightening or flattening machines (including presses), numerically controlled, for working metal",Machinery,0.5903101718120661
Wind,850164,"Electric generators; AC generators, (alternators), of an output exceeding 750kVA",Electronics,0.5856572890253436
Wind,845430,Casting machines; of a kind used in metallurgy or in metal foundries,Machinery,0.5826028215825916
Wind,870810,"Vehicles; bumpers and parts thereof, for the vehicles of heading no. 8701 to 8705",Machinery,0.5796156446730257
Wind,260300,Copper ores and concentrates,Metals,0.5787265177440272
Wind,846231,"Machine-tools; shearing machines (including presses), (other than combined punching and shearing machines), numerically controlled, for working metal",Machinery,0.5748147300018597
Wind,261000,Chromium ores and concentrates,Metals,0.5627107897064377
Wind,841989,"Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food",Machinery,0.5616657477787081
Wind,NA,trade_z,Non-HS,0.5610411464507911
Wind,848330,"Bearing housings, not incorporating ball or roller bearings and plain shaft bearings",Machinery,0.5581918359596069
Wind,870839,"Vehicles; brakes, servo brakes and parts, not mounted brake linings",Machinery,0.5560553315316122
Wind,840734,"Engines; reciprocating piston engines, of a kind used for the propulsion of vehicles of chapter 87, of a cylinder capacity exceeding 1000cc",Machinery,0.5514309858752933
Wind,903190,"Instruments, appliances and machines; parts and accessories for those measuring or checking devices of heading no. 9031",Machinery,0.5489026492291073
Wind,730110,"Iron or steel; sheet piling, whether or not drilled, punched or made from assembled elements",Metals,0.5482630240821863
Wind,260800,Zinc ores and concentrates,Metals,0.5477402693687904
Wind,400931,"Rubber; vulcanised (other than hard rubber), tubing, piping and hoses, reinforced or otherwise combined only with textile materials, without fittings",Chemicals,0.5447322050844503
Wind,848220,"Bearings; tapered roller bearings, including cone and tapered roller assemblies",Machinery,0.5429692851959431
Wind,760110,"Aluminium; unwrought, (not alloyed)",Metals,0.5392359920745309
Wind,260700,Lead ores and concentrates,Metals,0.5381066463949108
Wind,841221,"Engines; hydraulic power engines and motors, linear acting (cylinders)",Machinery,0.5311644434252584
Wind,730640,"Steel, stainless; tubes and pipes, welded, of circular cross-section",Metals,0.5284041073521077
Wind,870850,"Vehicles; parts, drive-axles with differential, whether or not provided with other transmission components",Machinery,0.5266250601483484
Wind,850162,"Electric generators; AC generators, (alternators), of an output exceeding 75kVA but not exceeding 375kVA",Electronics,0.5258263113908149
Wind,761699,Aluminium; n.e.s. in heading no. 7616,Metals,0.5255748211868115
Wind,260600,Aluminium ores and concentrates,Metals,0.5224001819826292
Wind,842890,"Lifting machinery; handling, loading or unloading machinery n.e.s. in heading no. 8428",Machinery,0.5205206056508032
Wind,NA,industry_gdp_z,Non-HS,0.5165411856018671
Wind,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",Metals,0.5158404570101573
Wind,320810,"Paints and varnishes; based on polyesters, dispersed or dissolved in a non-aqueous medium",Chemicals,0.5155987708005059
Wind,730890,"Iron or steel; structures and parts thereof, n.e.s. in heading no. 7308",Metals,0.5136812904975099
Wind,392690,Plastics; other articles n.e.s. in chapter 39,Chemicals,0.5122196794854659
Wind,847990,"Machines and mechanical appliances; parts, of those having individual functions",Machinery,0.5088293540709281
Wind,391729,"Plastics; tubes, pipes and hoses thereof, rigid, of plastics n.e.s. in heading no. 3917",Chemicals,0.5088185587748683
Wind,848390,"Transmission components; toothed wheels, chain sprockets and other transmission elements presented separately; parts",Machinery,0.5087152099777719
Wind,870840,"Vehicles; parts, gear boxes",Machinery,0.5069265963889569
Wind,940560,"Illuminated signs, name plates and the like",Machinery,0.5055525042187166
Wind,854411,"Insulated electric conductors; winding wire, of copper",Electronics,0.5021520511318496
Wind,850519,"Magnets; permanent magnets and articles intended to become permanent magnets after magnetisation, other than of metal",Electronics,0.5014500114949741
Wind,NA,mfg_z,Non-HS,0.5011731747549542
Wind,820900,"Tools; plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",Metals,0.5011643812790075
Wind,441520,"Wood; pallets, box pallets and other load boards; pallet collars",Industrial Materials,0.5006963364203638
