"tech","code","label","role","stage"
"Batteries","260111","Iron Ore (Non- Agglomerated)","Raw Material","Upstream"
"Batteries","280519","Lithium","Raw Material","Upstream"
"Batteries","260200","Manganese Ore","Raw Material","Upstream"
"Batteries","260400","Nickel Ore","Raw Material","Upstream"
"Batteries","251020","Phosphate Ore","Raw Material","Upstream"
"Batteries","290122","Propylene","Raw Material","Upstream"
"Transmission","281820","Alumina","Processed Material","Midstream"
"Transmission","760521","Aluminum wire","Processed Material","Midstream"
"Transmission","740110","Copper Mattes","Processed Material","Midstream"
"Transmission","740811","Copper Wire","Processed Material","Midstream"
"Transmission","722611","Silicon Electric Steel","Processed Material","Midstream"
"Transmission","281290","Sulfur Hexafluoride","Processed Material","Midstream"
"Transmission","260600","Bauxite Ore","Raw Material","Upstream"
"Transmission","260300","Copper Ore","Raw Material","Upstream"
"Transmission","260120","Iron (Roasted Iron Pyrites)","Raw Material","Upstream"
"Transmission","260112","Iron Ore (Agglomerated)","Raw Material","Upstream"
"Transmission","260111","Iron Ore (Non- Agglomerated)","Raw Material","Upstream"
"Wind","281820","Alumina","Processed Material","Midstream"
"Wind","740110","Copper Mattes","Processed Material","Midstream"
"Wind","854411","Nacelle; Copper Wire for Use in Nacelle","Processed Material","Midstream"
"Wind","280530","Rare Earth Metals","Processed Material","Midstream"
"Wind","350691","Rotor; Adhesive for Use in Rotor","Processed Material","Midstream"
"Wind","681599","Rotor; Materials for Use in Rotor","Processed Material","Midstream"
"Wind","681511","Rotor; Materials for Use in Rotor (Carbon Fibre)","Processed Material","Midstream"
"Wind","390791","Rotor; Materials for Use in Rotor (Polyester)","Processed Material","Midstream"
"Wind","820900","Rotor; Materials for Use in Rotor (Sintered Metal)","Processed Material","Midstream"
"Wind","401699","Tower: Vulcanised Rubber Articles for Cable Accessory & Joints","Processed Material","Midstream"
"Wind","392590","Tower; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items","Processed Material","Midstream"
"Wind","390110","Tower; Ethylene Polymers for Use in Tower Cable Cores","Processed Material","Midstream"
"Wind","290949","Tower; Industrial Alcohols for Use in Tower","Processed Material","Midstream"
"Wind","392690","Tower; Plastic Articles for Cable Core in Tower","Processed Material","Midstream"
"Wind","390210","Tower; Polypropylene for Use in Tower Cable Outer Casing","Processed Material","Midstream"
"Wind","730110","Tower; Sheets Iron & Steel","Processed Material","Midstream"
"Wind","760110","Tower; Unwrought Aluminium for Use in Tower","Processed Material","Midstream"
"Wind","391732","Wind Turbine Joints (Flexible Plastic)","Processed Material","Midstream"
"Wind","391729","Wind Turbine Joints (Other Rigid)","Processed Material","Midstream"
"Wind","391721","Wind Turbine Joints Ethylene","Processed Material","Midstream"
"Wind","391722","Wind Turbine Joints Propylene","Processed Material","Midstream"
"Wind","391723","Wind Turbine Joints Vinyl Chloride","Processed Material","Midstream"
"Wind","790111","Zinc (Refined) 99% Pure","Processed Material","Midstream"
"Wind","260600","Bauxite Ore","Raw Material","Upstream"
"Wind","261000","Chromium Ore","Raw Material","Upstream"
"Wind","260300","Copper Ore","Raw Material","Upstream"
"Wind","260200","Manganese Ore","Raw Material","Upstream"
"Wind","261390","Molybdenum Ore","Raw Material","Upstream"
"Wind","261310","Molybdenum Ore (Roasted)","Raw Material","Upstream"
"Wind","260400","Nickel Ore","Raw Material","Upstream"
"Wind","261400","Titanium Ore","Raw Material","Upstream"
"Wind","260800","Zinc Ore","Raw Material","Upstream"
"Biofuel","281820","Alumina Catalyst","Processed Material","Midstream"
"Biofuel","381590","Aluminosilicates","Processed Material","Midstream"
"Biofuel","380210","CO2 Reduction (Gas); Activated Carbon","Processed Material","Midstream"
"Biofuel","681510","CO2 Reduction (Gas); Carbon Nanotubes","Processed Material","Midstream"
"Biofuel","281122","CO2 Reduction (Gas); Silica Gels","Processed Material","Midstream"
