year,tech,role,stage,exports,imports,balance
2005,Geothermal,Final Product,Final Product,135368.89299999998,187134.55500000005,-51765.66200000007
2005,Geothermal,Product Component,Downstream,120188.63199999998,183831.27099999998,-63642.638999999996
2005,Geothermal,Processed Material,Midstream,641524.1485,151439.06399999998,490085.0845
2006,Geothermal,Product Component,Midstream,315304.75283333316,771947.6045000001,-456642.851666667
2006,Geothermal,Final Product,Final Product,276404.3480000001,272130.565,4273.783000000112
2006,Geothermal,Product Component,Downstream,129971.41200000001,209257.24099999998,-79285.82899999997
2006,Geothermal,Process Equipment,Midstream,45449.783333333326,180428.6435,-134978.86016666668
2006,Geothermal,Process Equipment,Downstream,66282.17233333332,273408.08949999994,-207125.91716666662
2006,Geothermal,Raw Material,Upstream,12395526.559,1190952.496,11204574.063000001
2006,Geothermal,Processed Material,Midstream,526986.5025000001,169527.9365,357458.56600000005
2007,Geothermal,Product Component,Midstream,439627.1861666667,956197.9960000002,-516570.8098333335
2007,Geothermal,Processed Material,Midstream,678654.8354999998,235706.25300000003,442948.5824999998
2007,Geothermal,Product Component,Downstream,150987.0329999999,270934.031,-119946.99800000011
2007,Geothermal,Final Product,Final Product,258256.0650000001,247452.78549999994,10803.27950000015
2007,Geothermal,Process Equipment,Midstream,48529.27416666666,203516.6135,-154987.33933333334
2007,Geothermal,Process Equipment,Downstream,55343.39316666669,451637.47849999997,-396294.0853333333
2007,Geothermal,Raw Material,Upstream,20009261.452999994,1289646.157,18719615.295999993
2008,Geothermal,Product Component,Midstream,483322.5844999999,1207831.7180000003,-724509.1335000005
2008,Geothermal,Final Product,Final Product,316173.388,352224.1830000001,-36050.7950000001
2008,Geothermal,Processed Material,Midstream,860513.3915,263235.34,597278.0515000001
2008,Geothermal,Product Component,Downstream,172062.56199999998,465576.79500000004,-293514.23300000007
2008,Geothermal,Process Equipment,Downstream,95118.14350000002,709888.2609999997,-614770.1174999997
2008,Geothermal,Process Equipment,Midstream,72533.00149999998,342896.841,-270363.8395
2008,Geothermal,Raw Material,Upstream,34710269.44600002,1173755.707,33536513.73900002
2009,Geothermal,Raw Material,Upstream,19270638.164000012,943244.362,18327393.802000012
2009,Geothermal,Product Component,Midstream,355630.6851666665,940387.1088333336,-584756.4236666671
2009,Geothermal,Product Component,Downstream,132626.16100000005,392678.611,-260052.44999999992
2009,Geothermal,Process Equipment,Downstream,96433.81866666669,651367.8653333335,-554934.0466666669
2009,Geothermal,Process Equipment,Midstream,81136.16366666669,350024.16533333337,-268888.0016666667
2009,Geothermal,Final Product,Final Product,304854.0765000001,449973.82550000004,-145119.74899999995
2009,Geothermal,Processed Material,Midstream,222584.44449999993,120993.32949999999,101591.11499999993
2010,Geothermal,Product Component,Midstream,422369.7264999999,1449563.6791666667,-1027193.9526666668
2010,Geothermal,Final Product,Final Product,395470.23049999995,639131.8489999999,-243661.61849999998
2010,Geothermal,Process Equipment,Downstream,40101.018500000006,628213.6016666666,-588112.5831666666
2010,Geothermal,Process Equipment,Midstream,47082.611499999985,521747.1916666667,-474664.5801666667
2010,Geothermal,Product Component,Downstream,155480.242,599521.466,-444041.22400000005
2010,Geothermal,Raw Material,Upstream,35103882.279000014,1373304.4179999998,33730577.86100002
2010,Geothermal,Processed Material,Midstream,283838.2805,182647.61849999998,101190.66200000001
2011,Geothermal,Product Component,Midstream,583909.2786666668,1601892.2418333334,-1017982.9631666666
2011,Geothermal,Processed Material,Midstream,776028.8189999999,219333.9095,556694.9094999998
2011,Geothermal,Product Component,Downstream,222431.56500000003,568881.7029999999,-346450.1379999998
2011,Geothermal,Final Product,Final Product,315994.15899999987,725111.9180000002,-409117.7590000003
2011,Geothermal,Process Equipment,Midstream,63338.874666666685,557096.3468333334,-493757.4721666667
2011,Geothermal,Raw Material,Upstream,48120631.28400001,1405766.9469999997,46714864.33700001
2011,Geothermal,Process Equipment,Downstream,65960.34366666667,837654.9908333335,-771694.6471666668
2012,Geothermal,Product Component,Midstream,536457.5138333329,1491959.7295,-955502.215666667
2012,Geothermal,Final Product,Final Product,332510.97699999996,1139518.6660000002,-807007.6890000002
2012,Geothermal,Processed Material,Midstream,1161462.5274999996,167192.91249999998,994269.6149999996
2012,Geothermal,Product Component,Downstream,206399.02099999992,676652.1970000002,-470253.1760000002
2012,Geothermal,Process Equipment,Midstream,65498.420333333364,784065.5814999999,-718567.1611666665
2012,Geothermal,Process Equipment,Downstream,126298.51033333337,1046070.1825000001,-919771.6721666667
2012,Geothermal,Raw Material,Upstream,36891374.727999985,1052058.5029999998,35839316.22499999
2013,Geothermal,Product Component,Midstream,387324.743833333,1633177.9311666673,-1245853.1873333342
2013,Geothermal,Processed Material,Midstream,1003160.6484999995,157237.9085,845922.7399999995
2013,Geothermal,Product Component,Downstream,209142.30700000015,562545.0789999999,-353402.77199999976
2013,Geothermal,Final Product,Final Product,713813.0729999999,1051858.38,-338045.30700000003
2013,Geothermal,Process Equipment,Midstream,76883.38933333335,511794.5486666667,-434911.1593333334
2013,Geothermal,Process Equipment,Downstream,131789.68233333336,842290.5066666667,-710500.8243333334
2013,Geothermal,Raw Material,Upstream,37939812.362,1459950.2029999997,36479862.159
2014,Geothermal,Product Component,Midstream,339742.4675000002,1557844.4561666667,-1218101.9886666664
2014,Geothermal,Processed Material,Midstream,1692393.4995,164238.66950000002,1528154.8299999998
2014,Geothermal,Product Component,Downstream,254304.667,568712.513,-314407.846
2014,Geothermal,Process Equipment,Downstream,128920.085,742074.5956666666,-613154.5106666667
2014,Geothermal,Process Equipment,Midstream,83191.79700000002,429727.3656666667,-346535.5686666667
2014,Geothermal,Final Product,Final Product,825709.5080000003,609145.5669999999,216563.94100000034
2014,Geothermal,Raw Material,Upstream,31320081.99999998,1420904.525,29899177.474999983
2015,Geothermal,Product Component,Midstream,290225.9478333335,1245976.7521666666,-955750.804333333
