tech,role,stage,region,n_firms,median_fixed_assets_kusd
Wind,Process Equipment,Downstream,Amazonas,2,2829.4633045992105
Wind,Process Equipment,Downstream,Espirito Santo,1,948.412073106765
Wind,Process Equipment,Downstream,Federal district,2,12532.594164799531
Wind,Process Equipment,Downstream,Minas Gerais,16,21688.267720578697
Wind,Process Equipment,Downstream,Parana,14,37177.06254899225
Wind,Process Equipment,Downstream,Rio Grande do Sul,13,66336.42452647006
Wind,Process Equipment,Downstream,Rio de Janeiro,3,6773.97303981107
Wind,Process Equipment,Downstream,Santa Catarina,9,13546.6878713874
Wind,Process Equipment,Downstream,Sao Paulo,51,11626.5692533003
Wind,Process Equipment,Midstream,Amazonas,2,2829.4633045992105
Wind,Process Equipment,Midstream,Federal district,1,21945.7746891278
Wind,Process Equipment,Midstream,Minas Gerais,9,22457.82225889142
Wind,Process Equipment,Midstream,Parana,10,6112.01748690314
Wind,Process Equipment,Midstream,Rio Grande do Sul,2,65908.79416310924
Wind,Process Equipment,Midstream,Rio de Janeiro,2,8176.001109233472
Wind,Process Equipment,Midstream,Santa Catarina,6,8830.774503551078
Wind,Process Equipment,Midstream,Sao Paulo,31,23634.8092335266
Wind,Processed Material,Midstream,Bahia,12,402073.20029653085
Wind,Processed Material,Midstream,Ceara,7,69533.70673902216
Wind,Processed Material,Midstream,Espirito Santo,1,42314.16653844383
Wind,Processed Material,Midstream,Goias,2,45045.22769380055
Wind,Processed Material,Midstream,Maranhao,6,101367.5567452937
Wind,Processed Material,Midstream,Minas Gerais,28,198264.01352609298
Wind,Processed Material,Midstream,Para,3,3097885.478741208
Wind,Processed Material,Midstream,Paraiba,1,17258.581340611323
Wind,Processed Material,Midstream,Parana,10,27257.10437793599
Wind,Processed Material,Midstream,Pernambuco,2,1088361.2587678884
Wind,Processed Material,Midstream,Rio Grande do Norte,1,42970.748329591726
Wind,Processed Material,Midstream,Rio Grande do Sul,11,96771.12548225075
Wind,Processed Material,Midstream,Rio de Janeiro,7,149605.40928133842
Wind,Processed Material,Midstream,Santa Catarina,3,18045.4409322843
Wind,Processed Material,Midstream,Sao Paulo,58,108363.865479353
Wind,Processed Material,Midstream,Tocantins,1,2378.338987849475
Wind,Processed Material,Midstream,NA,4,369980.7206908955
Wind,Product Component,Downstream,Amazonas,4,44882.3698434051
Wind,Product Component,Downstream,Ceara,4,55588.8002234052
Wind,Product Component,Downstream,Espirito Santo,5,132819.0161717201
Wind,Product Component,Downstream,Goias,3,1019.9746585412935
Wind,Product Component,Downstream,Mato Grosso,2,381922.289135922
Wind,Product Component,Downstream,Mato Grosso do Sul,1,14933.08102042574
Wind,Product Component,Downstream,Minas Gerais,19,99772.48416450544
Wind,Product Component,Downstream,Para,2,71945.75992305533
Wind,Product Component,Downstream,Parana,21,102591.70997586731
Wind,Product Component,Downstream,Pernambuco,1,75215.8340885868
Wind,Product Component,Downstream,Rio Grande do Sul,22,84269.42529358505
Wind,Product Component,Downstream,Rio de Janeiro,17,61846.202087526
Wind,Product Component,Downstream,Santa Catarina,20,33830.46181988405
Wind,Product Component,Downstream,Sao Paulo,79,52923.83574603365
Wind,Product Component,Downstream,Sergipe,1,2838.19915961275
Wind,Product Component,Midstream,Amazonas,4,22600.84696460165
Wind,Product Component,Midstream,Bahia,3,167863.41368057724
Wind,Product Component,Midstream,Ceara,7,19491.4539188208
Wind,Product Component,Midstream,Espirito Santo,2,263678.8801742887
Wind,Product Component,Midstream,Federal district,2,12532.594164799531
Wind,Product Component,Midstream,Goias,3,15442.0467679422
Wind,Product Component,Midstream,Maranhao,1,9713.28411023953
Wind,Product Component,Midstream,Mato Grosso do Sul,1,14933.08102042574
Wind,Product Component,Midstream,Minas Gerais,31,52380.2215832067
Wind,Product Component,Midstream,Para,3,3097885.478741208
Wind,Product Component,Midstream,Parana,38,74160.3485445746
Wind,Product Component,Midstream,Pernambuco,1,75215.8340885868
Wind,Product Component,Midstream,Rio Grande do Sul,35,94676.56117360754
Wind,Product Component,Midstream,Rio de Janeiro,23,84619.47299067504
Wind,Product Component,Midstream,Santa Catarina,29,22742.9841071457
Wind,Product Component,Midstream,Sao Paulo,142,54604.21671779416
Wind,Product Component,Midstream,Sergipe,1,2838.19915961275
Wind,Product Component,Midstream,NA,2,257510.00843599453
