tech,code,name,role,stage,position,step,hs_rev_canonical,split_weight,codename,nace4,naics6_nace,naics6,naics6_all,naics_n_mapped
Batteries,382499,Electrolyte,Product Component,Midstream,Midstream | Product Component,2,HS22,1,382499 | Electrolyte,2059,325180,325199,325199;327999;325194;325998,4
Batteries,390210,Separator; Polypropylene,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,390210 | Separator; Polypropylene,2016,325211,325211,325211,1
Batteries,390760,Separator; Polyethylene,Processed Material,Midstream,Midstream | Processed Material,2,HS12,1,390760 | Separator; Polyethylene,NA,NA,NA,NA,NA
Batteries,391000,Separator; Silicone,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,391000 | Separator; Silicone,2016,325211,325212,325212,1
Batteries,391910,Separator,Product Component,Midstream,Midstream | Product Component,2,HS22,1,391910 | Separator,2229,322220,322220,322220,1
Batteries,392010,"Separator; Polymers of Ethylene, Non-Cellular",Processed Material,Midstream,Midstream | Processed Material,2,HS12,1,"392010 | Separator; Polymers of Ethylene, Non-Cellular",2221,326113,326113,326113,1
Batteries,392020,"Separator; Polymers of Propylene, Non-Cellular",Processed Material,Midstream,Midstream | Processed Material,2,HS12,1,"392020 | Separator; Polymers of Propylene, Non-Cellular",2221,326113,326113,326113,1
Batteries,750110,CAM; Ni Mattes,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,750110 | CAM; Ni Mattes,2445,331410,331410,331410,1
Batteries,750120,"CAM; Mn Ores and Concentrates, incl Fe Mn Ores and Concentrates with Mn Weighing≥20%",Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,"750120 | CAM; Mn Ores and Concentrates, incl Fe Mn Ores and Concentrates with Mn Weighing≥20%",2445,331410,331410,331410,1
Batteries,760720,Current Collectors (Al),Product Component,Midstream,Midstream | Product Component,2,HS22,1,760720 | Current Collectors (Al),2442,331313,322220,322220,1
Batteries,761699,Battery Casing,Product Component,Midstream,Midstream | Product Component,2,HS22,1,761699 | Battery Casing,2599,332999,332999,332999;331523;332112;332618;337920,5
Batteries,810520,"CAM; Intermediate Products, Smelted by Cobalt Hydrometallurgy",Processed Material,Midstream,Midstream | Processed Material,2,HS07,1,"810520 | CAM; Intermediate Products, Smelted by Cobalt Hydrometallurgy",2445,331410,331491,331491,1
Batteries,811100,CAM; Manganese Powder,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,811100 | CAM; Manganese Powder,2445,331410,331410,331410,1
Batteries,841939,Electrode Production; Drying,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.5,841939 | Electrode Production; Drying,2899,333242,333241,333241;333998,2
Batteries,841939,Electrode Production; Final Drying,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.5,841939 | Electrode Production; Final Drying,2899,333242,333241,333241;333998,2
Batteries,842010,Electrode Production; Calendering,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.5,842010 | Electrode Production; Calendering,2829,333310,333248,333248;333243;333998,3
Batteries,842010,Separator Production; Rolling,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,0.5,842010 | Separator Production; Rolling,2829,333310,333248,333248;333243;333998,3
Batteries,842119,Electrolyte Production; Centrifugation,Process Equipment,Midstream,Midstream | Process Equipment,2,HS12,1,842119 | Electrolyte Production; Centrifugation,28293250,333998,333998,333998,1
Batteries,842240,Cell Production; Housing Sealing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS07,0.5,842240 | Cell Production; Housing Sealing,2829,333310,333993,333993,1
Batteries,842240,Cell Production; Final Cell Sealing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS07,0.5,842240 | Cell Production; Final Cell Sealing,2829,333310,333993,333993,1
Batteries,842489,Electrode Production; Web Coating,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,1,842489 | Electrode Production; Web Coating,2829,333310,333912,333912,1
Batteries,845521,Current Collectors; Rolling,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,1,845521 | Current Collectors; Rolling,2891,333519,333519,333519,1
Batteries,846150,Cell Production; Cut to Single Electrode,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,1,846150 | Cell Production; Cut to Single Electrode,2841,333517,333517,333517;930000,2
Batteries,846223,Electrode Production; Slitting to Width,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,1,846223 | Electrode Production; Slitting to Width,2841,333517,333517,333517;930000,2
Batteries,847710,Cell Production; Electrolyte Filling Tempering,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,1,847710 | Cell Production; Electrolyte Filling Tempering,2896,333248,333248,333248,1
Batteries,847720,Separator; Extruder,Process Equipment,Midstream,Midstream | Process Equipment,2,HS12,1,847720 | Separator; Extruder,2896,333248,333248,333248,1
Batteries,847981,Cell Production; Z Stacking,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.5,847981 | Cell Production; Z Stacking,2899,333242,333519,333519,1
Batteries,847981,Electrode Production; Slitting to Width,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.5,847981 | Electrode Production; Slitting to Width,2899,333242,333519,333519,1
Batteries,847982,Electrode Production; Dry & Wet Mixing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.3333333333333333,847982 | Electrode Production; Dry & Wet Mixing,2899,333242,333998,333998,1
Batteries,847982,Active Materials Production; Dry & Wet Mixing,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,0.3333333333333333,847982 | Active Materials Production; Dry & Wet Mixing,2899,333242,333998,333998,1
Batteries,847982,Electrolyte Production; Dry & Wet Mixing,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,0.3333333333333333,847982 | Electrolyte Production; Dry & Wet Mixing,2899,333242,333998,333998,1
Batteries,847989,Module-Pack Assembly; Module Assembly,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,847989 | Module-Pack Assembly; Module Assembly,2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,847989,Module-Pack Assembly; Cooling Integration,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,847989 | Module-Pack Assembly; Cooling Integration,2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,847989,Module-Pack Assembly; BMS Integration,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,847989 | Module-Pack Assembly; BMS Integration,2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,847989,Module-Pack Assembly; Pack Assembly,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,847989 | Module-Pack Assembly; Pack Assembly,2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,847989,Module-Pack Assembly; Vehicle System Integration First Use,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,847989 | Module-Pack Assembly; Vehicle System Integration First Use,2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,847989,"Module-Pack Assembly; Second Use, Recycling",Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,"847989 | Module-Pack Assembly; Second Use, Recycling",2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,847989,Cell Conditioning; Formation,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.14285714285714285,847989 | Cell Conditioning; Formation,2899,333242,335220,335220;333120;333132;333310;333415;333995;333998;335210;335999,9
Batteries,850760,Lithium Ion Electric Accumulators,Final Product,Final Product,Final Product | Final Product,4,HS17,0.5,850760 | Lithium Ion Electric Accumulators,2720,335910,335910,335910,1
Batteries,850760,Lithium Ion Accumulators,Final Product,Final Product,Final Product | Final Product,4,HS22,0.5,850760 | Lithium Ion Accumulators,2720,335910,335910,335910,1
Batteries,850780,Electric Accumulators,Final Product,Final Product,Final Product | Final Product,4,HS22,0.5,850780 | Electric Accumulators,2720,335910,335910,335910,1
Batteries,850790,Parts of Accumulators,Product Component,Downstream,Downstream | Product Component,3,HS22,0.3333333333333333,850790 | Parts of Accumulators,2720,335910,335910,335910,1
Batteries,850790,Current Collectors (Cu),Product Component,Midstream,Midstream | Product Component,2,HS22,0.3333333333333333,850790 | Current Collectors (Cu),2720,335910,335910,335910,1
Batteries,850790,Separator,Product Component,Midstream,Midstream | Product Component,2,HS22,0.3333333333333333,850790 | Separator,2720,335910,335910,335910,1
Batteries,851580,Cell Production; Contacting Terminals,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,1,851580 | Cell Production; Contacting Terminals,2790,333992,333912,333912;333992,2
Batteries,902780,Cell Conditioning; Physical/Chemical Battery Safety Testing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS17,1,902780 | Cell Conditioning; Physical/Chemical Battery Safety Testing,NA,NA,NA,NA,NA
Batteries,903031,Cell Conditioning; Voltage Testing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,1,903031 | Cell Conditioning; Voltage Testing,2651,334515,334515,334515,1
Batteries,903033,Electrode Production; Quality Control,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,1,903033 | Electrode Production; Quality Control,2651,334515,334515,334515,1
Batteries,903039,Cell Conditioning: Quality Sorting,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,1,903039 | Cell Conditioning: Quality Sorting,2651,334515,334515,334515,1
Batteries,903089,Cell Conditioning: Battery Cycle Testing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,0.5,903089 | Cell Conditioning: Battery Cycle Testing,2651,334515,334515,334515,1
Batteries,903089,Cell Conditioning; Capacitance Testing,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,0.5,903089 | Cell Conditioning; Capacitance Testing,2651,334515,334515,334515,1
Batteries,903149,Cell Conditioning: Quality Sorting,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,0.5,903149 | Cell Conditioning: Quality Sorting,2670,333310,333310,333310,1
Batteries,903149,Electrode Production; Quality Control,Process Equipment,Downstream,Downstream | Process Equipment,3,HS12,0.5,903149 | Electrode Production; Quality Control,2670,333310,333310,333310,1
Batteries,903180,Cell Conditioning; Aging,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.3333333333333333,903180 | Cell Conditioning; Aging,2651,334515,334515,334515,1
