year,tech,role,stage,exports,imports,balance
2010,Magnets,Product Component,Downstream,341.2485,6456.214000000002,-6114.965500000002
2010,Magnets,Final Product,Final Product,1499.77,15676.9025,-14177.1325
2011,Magnets,Process Equipment,Downstream,272181.5559999999,1044377.648,-772196.0920000002
2011,Magnets,Raw Material,Upstream,2129829.203,1119561.534,1010267.6690000002
2011,Magnets,Processed Material,Midstream,2413234.5510000004,229071.668,2184162.8830000004
2011,Magnets,Product Component,Downstream,327.711,8273.027,-7945.316
2011,Magnets,Final Product,Final Product,2003.34,22544.171,-20540.831
2012,Magnets,Process Equipment,Downstream,498241.65299999993,1057914.574,-559672.9210000001
2012,Magnets,Raw Material,Upstream,2123698.9299999997,626540.8110000002,1497158.1189999995
2012,Magnets,Processed Material,Midstream,2220455.295,173182.224,2047273.071
2012,Magnets,Product Component,Downstream,432.81399999999996,9091.0585,-8658.244499999999
2012,Magnets,Final Product,Final Product,664.911,20689.989500000003,-20025.078500000003
2013,Magnets,Process Equipment,Downstream,228580.964,1155679.359000001,-927098.3950000011
2013,Magnets,Raw Material,Upstream,2270559.0050000004,1094568.2440000002,1175990.7610000002
2013,Magnets,Processed Material,Midstream,1936251.0530000003,150651.31799999997,1785599.7350000003
2013,Magnets,Product Component,Downstream,103.228,9525.3815,-9422.1535
2013,Magnets,Final Product,Final Product,103.228,18039.611999999997,-17936.384
2014,Magnets,Process Equipment,Downstream,207693.48500000002,1115062.8899999997,-907369.4049999997
2014,Magnets,Raw Material,Upstream,2349379.119000001,1038595.901,1310783.2180000008
2014,Magnets,Processed Material,Midstream,2218149.007,290608.53400000016,1927540.473
2014,Magnets,Product Component,Downstream,188.142,7661.844000000001,-7473.702000000001
2014,Magnets,Final Product,Final Product,188.142,14867.171000000002,-14679.029000000002
2015,Magnets,Process Equipment,Downstream,122538.30199999998,846787.9589999994,-724249.6569999994
2015,Magnets,Raw Material,Upstream,2468638.625,920911.2009999999,1547727.424
2015,Magnets,Processed Material,Midstream,2046292.912,198729.553,1847563.359
2015,Magnets,Product Component,Downstream,127.9395,5583.7665,-5455.826999999999
