year,country_iso3,tech,role,stage,exports,imports,balance,country_name
1995,BRA,Wind,Process Equipment,Midstream,3149.2485,302862.61950000003,-299713.37100000004,Brazil
1996,BRA,Batteries,Raw Material,Upstream,3534276.3189999987,74754.49600000001,3459521.822999999,Brazil
1996,BRA,Batteries,Processed Material,Midstream,186034.93899999993,214003.66699999996,-27968.728000000032,Brazil
1996,BRA,Batteries,Product Component,Midstream,50193.95733333335,141129.25033333336,-90935.293,Brazil
1996,BRA,Batteries,Process Equipment,Downstream,49784.841333333214,771101.7498333333,-721316.9085000001,Brazil
1996,BRA,Batteries,Process Equipment,Midstream,9153.473666666667,59150.536166666665,-49997.0625,Brazil
1996,BRA,Batteries,Product Component,Downstream,234.81966666666665,2237.0036666666665,-2002.1839999999997,Brazil
1996,BRA,Batteries,Final Product,Final Product,0,1880.4650000000001,-1880.4650000000001,Brazil
1996,BRA,Biofuel,Raw Material,Upstream,272502.607,5420.017,267082.59,Brazil
1996,BRA,Biofuel,Processed Material,Midstream,110579.94000000003,115346.99999999997,-4767.0599999999395,Brazil
1996,BRA,Biofuel,Process Equipment,Downstream,339701.58200000005,251879.42700000003,87822.15500000003,Brazil
1996,BRA,Biofuel,Process Equipment,Midstream,24230.133,26635.302999999996,-2405.1699999999946,Brazil
1996,BRA,Biofuel,Final Product,Final Product,5856.871999999999,68878.879,-63022.007,Brazil
1996,BRA,Electrolyzers,Processed Material,Midstream,27860.699,100714.22199999998,-72853.52299999999,Brazil
1996,BRA,Electrolyzers,Process Equipment,Downstream,6642.464500000001,311333.46100000007,-304690.99650000007,Brazil
1996,BRA,Electrolyzers,Product Component,Downstream,87870.51699999999,231109.26000000004,-143238.74300000005,Brazil
1996,BRA,Electrolyzers,Process Equipment,Midstream,242.1635,11823.868999999999,-11581.705499999998,Brazil
1996,BRA,Electrolyzers,Final Product,Final Product,155.8385,4410.2665,-4254.428,Brazil
1996,BRA,Electrolyzers,Product Component,Midstream,493.519,15321.163,-14827.644,Brazil
1996,BRA,Electrolyzers,Raw Material,Upstream,124.706,2557.998,-2433.292,Brazil
1996,BRA,Geothermal,Raw Material,Upstream,3497486.0849999995,109907.153,3387578.9319999996,Brazil
1996,BRA,Geothermal,Product Component,Midstream,117527.84083333332,245360.6188333333,-127832.77799999999,Brazil
1996,BRA,Geothermal,Product Component,Downstream,32510.135,255338.64999999997,-222828.51499999996,Brazil
1996,BRA,Geothermal,Processed Material,Midstream,115603.07149999999,28846.086499999998,86756.98499999999,Brazil
1996,BRA,Geothermal,Final Product,Final Product,17323.696000000004,58466.387,-41142.691,Brazil
1996,BRA,Geothermal,Process Equipment,Midstream,10760.372833333331,94823.77283333334,-84063.40000000001,Brazil
1996,BRA,Geothermal,Process Equipment,Downstream,60202.898833333325,169929.32683333338,-109726.42800000006,Brazil
1996,BRA,Heat Pumps,Product Component,Midstream,24782.371,90401.55549999999,-65619.18449999999,Brazil
1996,BRA,Heat Pumps,Raw Material,Upstream,153002.9,68229.486,84773.41399999999,Brazil
1996,BRA,Heat Pumps,Processed Material,Midstream,100591.95700000001,11900.181999999999,88691.77500000001,Brazil
1996,BRA,Heat Pumps,Process Equipment,Midstream,974.265,4807.019999999999,-3832.7549999999987,Brazil
1996,BRA,Heat Pumps,Product Component,Downstream,357419.078,261644.39450000002,95774.68349999996,Brazil
1996,BRA,Heat Pumps,Final Product,Final Product,8766.807999999999,10082.858,-1316.050000000001,Brazil
1996,BRA,Heat Pumps,Process Equipment,Downstream,624.394,80769.69499999999,-80145.30099999999,Brazil
1996,BRA,Magnets,Raw Material,Upstream,211702.144,66660.91900000001,145041.22499999998,Brazil
1996,BRA,Magnets,Process Equipment,Downstream,24841.971,344341.855,-319499.88399999996,Brazil
1996,BRA,Magnets,Processed Material,Midstream,177023.727,9187.72,167836.007,Brazil
1996,BRA,Magnets,Final Product,Final Product,2420.5429999999997,2724.9925,-304.44950000000017,Brazil
1996,BRA,Magnets,Product Component,Downstream,1721.3745000000001,1020.087,701.2875000000001,Brazil
1996,BRA,Nuclear,Raw Material,Upstream,3365816.1249999986,75957.19,3289858.9349999987,Brazil
1996,BRA,Nuclear,Product Component,Downstream,9404.185999999998,19876.792,-10472.606000000003,Brazil
1996,BRA,Nuclear,Processed Material,Midstream,54559.16900000001,6759.579,47799.59000000001,Brazil
1996,BRA,Nuclear,Process Equipment,Midstream,9249.053000000002,41784.693,-32535.64,Brazil
1996,BRA,Nuclear,Final Product,Final Product,671.618,0,671.618,Brazil
1996,BRA,Nuclear,Process Equipment,Downstream,3677.663,23170.945,-19493.282,Brazil
1996,BRA,Nuclear,Processed Material,Upstream,0,5548.25,-5548.25,Brazil
1996,BRA,Solar,Raw Material,Upstream,153958.467,69388.46100000001,84570.006,Brazil
1996,BRA,Solar,Processed Material,Midstream,313953.5035,123947.949,190005.5545,Brazil
1996,BRA,Solar,Product Component,Downstream,37547.0265,54425.183,-16878.156499999997,Brazil
1996,BRA,Solar,Process Equipment,Midstream,9239.831,30353.788,-21113.957000000002,Brazil
1996,BRA,Solar,Process Equipment,Downstream,19224.20799999999,298945.403,-279721.195,Brazil
1996,BRA,Solar,Product Component,Midstream,114.303,1617.409,-1503.1060000000002,Brazil
1996,BRA,Transmission,Raw Material,Upstream,3441082.107,66746.67500000002,3374335.432,Brazil
1996,BRA,Transmission,Processed Material,Midstream,93604.057,12830.055,80774.00200000001,Brazil
1996,BRA,Transmission,Process Equipment,Downstream,26929.409999999993,491006.1719999999,-464076.76199999993,Brazil
1996,BRA,Transmission,Process Equipment,Midstream,19547.089,21403.062,-1855.9730000000018,Brazil
1996,BRA,Transmission,Final Product,Final Product,9474.679,45431.484,-35956.80499999999,Brazil
1996,BRA,Transmission,Product Component,Downstream,6139.276000000001,30552.103,-24412.826999999997,Brazil
1996,BRA,Wind,Raw Material,Upstream,207265.07400000002,68983.26,138281.814,Brazil
1996,BRA,Wind,Processed Material,Midstream,1304703.7225000001,268732.56000000006,1035971.1625000001,Brazil
1996,BRA,Wind,Product Component,Midstream,318223.6695000001,788977.554,-470753.8844999999,Brazil
1996,BRA,Wind,Product Component,Downstream,164443.70700000002,556749.675,-392305.968,Brazil
1996,BRA,Wind,Process Equipment,Downstream,13916.051,111585.807,-97669.756,Brazil
1996,BRA,Wind,Process Equipment,Midstream,4592.622,170629.58499999996,-166036.96299999996,Brazil
1996,BRA,Wind,Final Product,Final Product,0,734.0625,-734.0625,Brazil
1997,BRA,Batteries,Process Equipment,Downstream,102941.37283333331,1494480.407000001,-1391539.0341666678,Brazil
1997,BRA,Batteries,Processed Material,Midstream,270258.338,369067.789,-98809.451,Brazil
1997,BRA,Batteries,Process Equipment,Midstream,26595.03316666666,146670.19800000003,-120075.16483333337,Brazil
1997,BRA,Batteries,Raw Material,Upstream,3627139.72,311034.54899999994,3316105.171,Brazil
1997,BRA,Batteries,Product Component,Midstream,105714.19899999996,203513.29700000002,-97799.09800000006,Brazil
1997,BRA,Batteries,Product Component,Downstream,658.7339999999999,4233.764,-3575.03,Brazil
1997,BRA,Batteries,Final Product,Final Product,86.624,8022.856000000001,-7936.232000000001,Brazil
1997,BRA,Biofuel,Raw Material,Upstream,331734.43000000005,50188.25500000001,281546.17500000005,Brazil
1997,BRA,Biofuel,Processed Material,Midstream,184177.26199999993,286281.5,-102104.23800000007,Brazil
1997,BRA,Biofuel,Process Equipment,Downstream,412985.58700000006,448808.2640000001,-35822.677000000025,Brazil
1997,BRA,Biofuel,Process Equipment,Midstream,12617.446999999998,51692.10699999999,-39074.65999999999,Brazil
1997,BRA,Biofuel,Final Product,Final Product,3161.8570000000004,140042.89899999998,-136881.042,Brazil
1997,BRA,Electrolyzers,Product Component,Downstream,111486.83200000002,382698.084,-271211.252,Brazil
1997,BRA,Electrolyzers,Processed Material,Midstream,36819.079,158977.06199999998,-122157.98299999998,Brazil
1997,BRA,Electrolyzers,Product Component,Midstream,3677.767,31458.371999999996,-27780.604999999996,Brazil
1997,BRA,Electrolyzers,Process Equipment,Downstream,49822.622999999985,378966.8844999999,-329144.26149999996,Brazil
1997,BRA,Electrolyzers,Process Equipment,Midstream,1748.1530000000002,25697.284499999998,-23949.131499999996,Brazil
1997,BRA,Electrolyzers,Raw Material,Upstream,116.587,23019.159999999996,-22902.572999999997,Brazil
1997,BRA,Electrolyzers,Final Product,Final Product,1126.1675,4603.801,-3477.6335000000004,Brazil
1997,BRA,Geothermal,Process Equipment,Midstream,29548.968333333338,202696.9921666666,-173148.02383333328,Brazil
1997,BRA,Geothermal,Process Equipment,Downstream,66767.40733333334,357846.28916666657,-291078.88183333323,Brazil
1997,BRA,Geothermal,Product Component,Midstream,156970.35683333344,513156.8516666666,-356186.4948333332,Brazil
1997,BRA,Geothermal,Processed Material,Midstream,111080.28050000002,70046.731,41033.54950000002,Brazil
1997,BRA,Geothermal,Raw Material,Upstream,3567211.2030000007,376721.9380000001,3190489.2650000006,Brazil
1997,BRA,Geothermal,Product Component,Downstream,42614.603,151204.30299999999,-108589.69999999998,Brazil
1997,BRA,Geothermal,Final Product,Final Product,32996.90899999999,159462.76799999998,-126465.859,Brazil
1997,BRA,Heat Pumps,Product Component,Downstream,418420.7620000001,283916.43700000003,134504.32500000007,Brazil
1997,BRA,Heat Pumps,Product Component,Midstream,28956.529,187610.03999999998,-158653.51099999997,Brazil
1997,BRA,Heat Pumps,Raw Material,Upstream,126110.38,286791.338,-160680.95799999998,Brazil
1997,BRA,Heat Pumps,Processed Material,Midstream,212029.20099999997,15715.496,196313.70499999996,Brazil
1997,BRA,Heat Pumps,Final Product,Final Product,6071.085,42870.140999999996,-36799.056,Brazil
1997,BRA,Heat Pumps,Process Equipment,Downstream,4197.824,122184.11,-117986.28600000001,Brazil
1997,BRA,Heat Pumps,Process Equipment,Midstream,104.034,9939.355999999998,-9835.321999999998,Brazil
1997,BRA,Magnets,Process Equipment,Downstream,47847.98200000001,853635.4270000003,-805787.4450000003,Brazil
1997,BRA,Magnets,Raw Material,Upstream,133406.22900000002,285205.748,-151799.519,Brazil
1997,BRA,Magnets,Processed Material,Midstream,301332.6170000001,12382.323,288950.2940000001,Brazil
1997,BRA,Magnets,Product Component,Downstream,2549.3575,4082.7055,-1533.348,Brazil
1997,BRA,Magnets,Final Product,Final Product,2608.385,9284.674500000001,-6676.289500000001,Brazil
1997,BRA,Nuclear,Process Equipment,Midstream,21439.255999999998,185944.97599999997,-164505.71999999997,Brazil
1997,BRA,Nuclear,Raw Material,Upstream,3466202.3690000004,333851.80499999993,3132350.5640000002,Brazil
1997,BRA,Nuclear,Product Component,Downstream,11102.415999999997,57517.22500000002,-46414.80900000002,Brazil
1997,BRA,Nuclear,Processed Material,Midstream,35109.17600000001,27060.238999999998,8048.937000000009,Brazil
1997,BRA,Nuclear,Process Equipment,Downstream,2614.511,73316.72699999998,-70702.21599999999,Brazil
1997,BRA,Nuclear,Processed Material,Upstream,0,8937.493,-8937.493,Brazil
1997,BRA,Nuclear,Final Product,Final Product,0,987.351,-987.351,Brazil
1997,BRA,Solar,Process Equipment,Midstream,16765.017,128996.80900000001,-112231.79200000002,Brazil
1997,BRA,Solar,Process Equipment,Downstream,38112.67599999999,773948.5009999997,-735835.8249999997,Brazil
1997,BRA,Solar,Processed Material,Midstream,427090.50150000013,217479.30849999996,209611.19300000017,Brazil
1997,BRA,Solar,Raw Material,Upstream,127223.71700000005,285972.949,-158749.23199999996,Brazil
1997,BRA,Solar,Product Component,Downstream,87986.33750000001,92445.7195,-4459.381999999998,Brazil
1997,BRA,Solar,Product Component,Midstream,0,1166.0949999999998,-1166.0949999999998,Brazil
1997,BRA,Transmission,Process Equipment,Downstream,64246.496,1005901.1489999995,-941654.6529999995,Brazil
1997,BRA,Transmission,Product Component,Downstream,11011.341,36447.042,-25435.701,Brazil
1997,BRA,Transmission,Raw Material,Upstream,3502981.517,305892.20900000003,3197089.308,Brazil
1997,BRA,Transmission,Processed Material,Midstream,181797.07,61544.83499999999,120252.23500000002,Brazil
1997,BRA,Transmission,Process Equipment,Midstream,22917.639999999996,102576.518,-79658.878,Brazil
1997,BRA,Transmission,Final Product,Final Product,14656.238000000001,149438.86599999995,-134782.62799999994,Brazil
1997,BRA,Wind,Processed Material,Midstream,1756607.6000000006,461071.7145000001,1295535.8855000003,Brazil
1997,BRA,Wind,Process Equipment,Downstream,20611.246,240987.5865,-220376.3405,Brazil
1997,BRA,Wind,Product Component,Midstream,455913.93600000016,1757415.6475,-1301501.7114999997,Brazil
1997,BRA,Wind,Raw Material,Upstream,185751.53500000006,403215.25899999996,-217463.7239999999,Brazil
1997,BRA,Wind,Product Component,Downstream,257559.57800000004,794530.237,-536970.659,Brazil
1997,BRA,Wind,Process Equipment,Midstream,5042.38,293438.4255,-288396.0455,Brazil
1997,BRA,Wind,Final Product,Final Product,0,60.5855,-60.5855,Brazil
1998,BRA,Batteries,Processed Material,Midstream,300263.07399999985,354624.597,-54361.52300000016,Brazil
1998,BRA,Batteries,Raw Material,Upstream,3870353.9369999985,179429.801,3690924.1359999985,Brazil
1998,BRA,Batteries,Product Component,Midstream,86754.71233333331,195770.1703333333,-109015.458,Brazil
1998,BRA,Batteries,Process Equipment,Downstream,77436.14716666663,1263447.9944999996,-1186011.847333333,Brazil
1998,BRA,Batteries,Process Equipment,Midstream,33001.00483333333,135257.6515,-102256.64666666667,Brazil
1998,BRA,Batteries,Product Component,Downstream,431.08166666666665,5586.916666666667,-5155.835,Brazil
1998,BRA,Batteries,Final Product,Final Product,0,19278.4675,-19278.4675,Brazil
1998,BRA,Biofuel,Raw Material,Upstream,383157.879,68922.98400000001,314234.895,Brazil
1998,BRA,Biofuel,Process Equipment,Downstream,452872.069,335333.23600000003,117538.83299999998,Brazil
1998,BRA,Biofuel,Processed Material,Midstream,213250.29800000004,212004.75100000002,1245.5470000000205,Brazil
1998,BRA,Biofuel,Process Equipment,Midstream,14608.224999999999,68026.398,-53418.173,Brazil
1998,BRA,Biofuel,Final Product,Final Product,2217.957,886.968,1330.989,Brazil
1998,BRA,Electrolyzers,Product Component,Downstream,98106.21499999998,357046.39900000003,-258940.18400000007,Brazil
1998,BRA,Electrolyzers,Processed Material,Midstream,56896.226,150893.84399999998,-93997.61799999999,Brazil
1998,BRA,Electrolyzers,Product Component,Midstream,3152.5989999999997,30102.295000000002,-26949.696000000004,Brazil
1998,BRA,Electrolyzers,Process Equipment,Downstream,27258.78000000001,328478.8954999998,-301220.1154999998,Brazil
1998,BRA,Electrolyzers,Process Equipment,Midstream,2303.2749999999996,23795.215500000002,-21491.940500000004,Brazil
1998,BRA,Electrolyzers,Final Product,Final Product,349.466,2780.3425,-2430.8765000000003,Brazil
1998,BRA,Electrolyzers,Raw Material,Upstream,127.455,20353.439000000006,-20225.984000000004,Brazil
1998,BRA,Geothermal,Product Component,Midstream,143157.34616666666,489595.31333333335,-346437.9671666667,Brazil
1998,BRA,Geothermal,Final Product,Final Product,43571.48799999998,368940.1829999999,-325368.69499999995,Brazil
1998,BRA,Geothermal,Product Component,Downstream,40264.56599999999,176474.475,-136209.909,Brazil
1998,BRA,Geothermal,Process Equipment,Downstream,52734.39266666666,272364.1363333332,-219629.74366666656,Brazil
1998,BRA,Geothermal,Raw Material,Upstream,3833643.8459999985,244961.355,3588682.4909999985,Brazil
1998,BRA,Geothermal,Processed Material,Midstream,93785.5515,52393.545,41392.0065,Brazil
1998,BRA,Geothermal,Process Equipment,Midstream,28706.829666666657,158562.0523333334,-129855.22266666676,Brazil
1998,BRA,Heat Pumps,Product Component,Downstream,473682.28650000005,301855.07199999987,171827.21450000018,Brazil
1998,BRA,Heat Pumps,Product Component,Midstream,19450.314499999997,204736.90600000005,-185286.59150000004,Brazil
1998,BRA,Heat Pumps,Raw Material,Upstream,119267.72399999999,175110.815,-55843.091000000015,Brazil
1998,BRA,Heat Pumps,Processed Material,Midstream,285647.709,14631.679,271016.02999999997,Brazil
1998,BRA,Heat Pumps,Process Equipment,Midstream,315.86,7178.865999999999,-6863.005999999999,Brazil
1998,BRA,Heat Pumps,Final Product,Final Product,6817.233000000002,51332.918999999994,-44515.685999999994,Brazil
1998,BRA,Heat Pumps,Process Equipment,Downstream,1553.638,65351.60400000003,-63797.96600000003,Brazil
1998,BRA,Magnets,Raw Material,Upstream,119719.07199999997,174244.60899999997,-54525.537,Brazil
1998,BRA,Magnets,Process Equipment,Downstream,32893.875,664576.5250000001,-631682.6500000001,Brazil
1998,BRA,Magnets,Processed Material,Midstream,402028.5429999998,9330.989000000001,392697.55399999977,Brazil
1998,BRA,Magnets,Product Component,Downstream,1395.486,3847.0149999999994,-2451.5289999999995,Brazil
1998,BRA,Magnets,Final Product,Final Product,1782.0565000000001,7038.414500000001,-5256.358,Brazil
1998,BRA,Nuclear,Processed Material,Midstream,20462.064000000002,19420.62,1041.4440000000031,Brazil
1998,BRA,Nuclear,Raw Material,Upstream,3735834.1609999985,197952.66799999998,3537881.4929999984,Brazil
1998,BRA,Nuclear,Product Component,Downstream,7884.731000000001,111402.56800000001,-103517.83700000001,Brazil
1998,BRA,Nuclear,Process Equipment,Midstream,13614.565,110736.66799999999,-97122.10299999999,Brazil
1998,BRA,Nuclear,Process Equipment,Downstream,3727.322,20829.694,-17102.372,Brazil
1998,BRA,Nuclear,Processed Material,Upstream,0,8960.761999999999,-8960.761999999999,Brazil
1998,BRA,Nuclear,Final Product,Final Product,0,1388.865,-1388.865,Brazil
1998,BRA,Solar,Processed Material,Midstream,393041.7044999998,195846.34900000002,197195.3554999998,Brazil
1998,BRA,Solar,Raw Material,Upstream,119375.33899999998,175295.401,-55920.062000000034,Brazil
1998,BRA,Solar,Product Component,Downstream,142029.2475,83064.78899999999,58964.45850000001,Brazil
1998,BRA,Solar,Process Equipment,Midstream,13011.985,86367.392,-73355.407,Brazil
1998,BRA,Solar,Process Equipment,Downstream,22743.01300000001,591403.067,-568660.054,Brazil
1998,BRA,Solar,Product Component,Midstream,106.91,1323.9850000000001,-1217.075,Brazil
1998,BRA,Transmission,Raw Material,Upstream,3762960.2449999987,174379.29299999998,3588580.9519999987,Brazil
1998,BRA,Transmission,Processed Material,Midstream,204769.60499999998,49317.63099999999,155451.974,Brazil
1998,BRA,Transmission,Process Equipment,Downstream,42598.97999999999,801047.403,-758448.4230000001,Brazil
1998,BRA,Transmission,Process Equipment,Midstream,27380.633999999995,110842.929,-83462.29500000001,Brazil
1998,BRA,Transmission,Final Product,Final Product,6612.3759999999975,100008.34200000002,-93395.96600000001,Brazil
1998,BRA,Transmission,Product Component,Downstream,9909.436,43583.581999999995,-33674.14599999999,Brazil
1998,BRA,Wind,Product Component,Midstream,453587.7105000001,1429836.4725000001,-976248.7620000001,Brazil
1998,BRA,Wind,Processed Material,Midstream,1540861.3315,406925.62750000006,1133935.704,Brazil
1998,BRA,Wind,Raw Material,Upstream,188628.52899999995,253289.51,-64660.98100000006,Brazil
1998,BRA,Wind,Product Component,Downstream,275076.306,608978.725,-333902.419,Brazil
1998,BRA,Wind,Process Equipment,Downstream,17660.442000000003,202276.71300000002,-184616.271,Brazil
1998,BRA,Wind,Process Equipment,Midstream,5227.42,153019.99200000003,-147792.57200000001,Brazil
1998,BRA,Wind,Final Product,Final Product,1059.1205,4335.243,-3276.1225000000004,Brazil
1999,BRA,Batteries,Process Equipment,Downstream,67254.3226666668,1024332.2685000002,-957077.9458333334,Brazil
1999,BRA,Batteries,Raw Material,Upstream,3356035.231000001,235755.039,3120280.192000001,Brazil
1999,BRA,Batteries,Processed Material,Midstream,345925.0530000001,356333.996,-10408.942999999912,Brazil
1999,BRA,Batteries,Product Component,Midstream,70823.70633333332,180026.69866666663,-109202.99233333331,Brazil
1999,BRA,Batteries,Process Equipment,Midstream,15998.628333333334,88051.2745,-72052.64616666667,Brazil
1999,BRA,Batteries,Product Component,Downstream,449.0926666666666,6472.4563333333335,-6023.363666666667,Brazil
1999,BRA,Batteries,Final Product,Final Product,91.211,27397.052999999996,-27305.841999999997,Brazil
1999,BRA,Biofuel,Raw Material,Upstream,309821.171,50261.109,259560.06199999998,Brazil
1999,BRA,Biofuel,Process Equipment,Downstream,447885.5730000001,286640.443,161245.13000000006,Brazil
1999,BRA,Biofuel,Processed Material,Midstream,255524.54099999997,217792.626,37731.91499999998,Brazil
1999,BRA,Biofuel,Process Equipment,Midstream,10126.379,41005.271,-30878.892,Brazil
1999,BRA,Biofuel,Final Product,Final Product,3983.0609999999997,350.876,3632.1849999999995,Brazil
1999,BRA,Electrolyzers,Product Component,Downstream,96838.14699999998,320693.515,-223855.36800000002,Brazil
1999,BRA,Electrolyzers,Processed Material,Midstream,42693.22999999999,181286.53300000002,-138593.30300000004,Brazil
1999,BRA,Electrolyzers,Product Component,Midstream,3803.0219999999995,29666.350000000006,-25863.328000000005,Brazil
1999,BRA,Electrolyzers,Process Equipment,Downstream,14973.744499999999,320152.28799999994,-305178.54349999997,Brazil
1999,BRA,Electrolyzers,Process Equipment,Midstream,1043.2075000000002,19608.852,-18565.6445,Brazil
1999,BRA,Electrolyzers,Raw Material,Upstream,171.74,15576.439,-15404.699,Brazil
1999,BRA,Electrolyzers,Final Product,Final Product,277.4795,924.1244999999999,-646.645,Brazil
1999,BRA,Geothermal,Processed Material,Midstream,133508.29500000004,49446.212,84062.08300000004,Brazil
1999,BRA,Geothermal,Raw Material,Upstream,3334444.700000001,299836.708,3034607.992000001,Brazil
